pali	grammar_y	meaning_y	from_y	exists
akitti	feminine	ill fame; reproach	kitti	right_only
akittisañjanana	adjective (f. -ī)	producing ill fame	['akittisañjananī', 'kitti']	right_only
akittisañjananī	feminine	producing ill fame	['akittisañjanana', 'kitti']	right_only
akiriyā	feminine	(feminine) non-activity; non-performance; abstention (from); failure to act	kiriyā	right_only
akiriyā	feminine	(feminine) the absence of independent activity; the absence of morally significant or morally effective activity	kiriyā	right_only
akiriyavādī	adjective id	professing the doctrine that activity is not morally significant or effective; advocating abstention	kiriyavādi(n)	right_only
akiriyavādi	adjective id	professing the doctrine that activity is not morally significant or effective; advocating abstention	kiriyavādi(n)	right_only
akissava	adjective (?)	(according to commentaries) without wisdom	a+kissava	right_only
akukkucca	adjective	free from anxiety; free from feelings of guilt	kukkucca	right_only
akukkuccaka	adjective	not causing anxiety (?)	kukkuccaka	right_only
akujjana	adjective & neuter	not creaking, not making a noise	akūjana	right_only
akuppadhamma	adjective	not not vulnerable to disturbance; whose essential nature is stability or changeability	akuppa	right_only
akula	neuter	a non-family, a family that is destroyed or disgraced	kula	right_only
akulaputta	masculine	not of good family	kulaputta	right_only
akusalapakkhika	adjective	belonging to the group of bad qualities	kusalapakkhika	right_only
akusalabhāgiya	adjective	associated to what is wrong, with evil or harm	kusalabhāgiya	right_only
akusalā dhammā	masculine	wrong practices or actions; evil conduct; harmful factors	kusalā dhammā	right_only
akusīta	adjective	not slothful; conscientious	kusīta	right_only
akūta	adjective	not deceitful, not false; not wild, not vicious	kūṭa	right_only
akeṭubhī	adjective	not fraudulent, honest	keṭubhi(n)	right_only
akeṭubhi	adjective	not fraudulent, honest	keṭubhi(n)	right_only
akevali	adjective	not accomplished; imperfect	kevali(n)	right_only
akopa	adjective	without agitation or anger	kopa	right_only
akkanāla	adjective	the stalk of the akka plant		right_only
akukkukata	adjective	(what is) not temporary; give an unlimited time	kukkukata	right_only
akkuṭṭhasanta	adjective	being reviled; or calm when reviled		right_only
akkudhasanta	adjective	unprovoked and calm, mild and un-angered	kuddha	right_only
akkulo	indeclinable	an exclamation (designed to terrify)		right_only
akkosakaparibhāsika	masculine feminine	(one) who abuses and insults		right_only
akkoseti	present 3 singular	scolds, abuses, curses, reviles	akkosati	right_only
akkhaṇavedhi	adjective	(probably) piercing the target		right_only
akkhaṇḍa	adjective	with no gaps, whole, entire, complete	['akhaṇḍa', 'khaṇḍa']	right_only
akkhaṇdakārī	adjective	making whole; complete	khaṇḍakāri(n)	right_only
akkhaṇdakāri	adjective	making whole; complete	khaṇḍakāri(n)	right_only
akkhantī	feminine	impatience, intolerance; irascibility; unwillingness to forgive	khantī	right_only
akkhambiya	future passive participle negative adjective	not to be made stiff; not be obstructed or hindered	khambheti	right_only
akkharikā	feminine	(from akkhara) a letter-game	akkhara+ikā	right_only
akkhātā	past participle adjective	told, declared, taught; called, named	akkhāti	right_only
akkhāyita	negative adjective	not eaten	khāyita	right_only
akkhāhata	adjective	fixed on an axle	akkha	right_only
akkhikahāraka	masculine; akkhi+ka+hāraka	one who removes eyes		right_only
akkhikahāraka	masculine; akkhi+ka+hāraka	(masculine) one who collects seeds		right_only
akkhīṇāsava	negative adjective	in whom the āsavas have not perished, who is not an arhat	khīṇāsava	right_only
akhīṇāsava	negative adjective	in whom the āsavas have not perished, who is not an arhat	khīṇāsava	right_only
akkhudda	adjective	not small or mean; considerable, important	khudda	right_only
akkhuddāvakāsa	adjective	being a considerable occasion (for …) (?)); of no mean appearance (?)	akkhudda	right_only
akriyā	feminine	(feminine) non-activity; non-performance; abstention (from); failure to act	kriyā	right_only
akriyā	feminine	(feminine) the absence of independent activity; the absence of morally significant or morally effective activity	kriyā	right_only
akhalita	negative adjective	free from stumbling, from error	khalita	right_only
akhettaññu	negative adjective	not knowledgeable (about, genitive); not familiar with; inexperienced; unskillful; (according to commentary also: knowing who is not a suitable recipient)	khettaññu	right_only
agadaṅgāra	masculine, neuter	a medicinal ash or powder		right_only
āgāraka	neuter	a small house; a cottage; a hut	agāra+ka	right_only
agāravasa	masculine	household life	agāra	right_only
agārā	neuter (& masculine)	house; a dwelling place	agāra	right_only
agārikabhūta	adjective; agāra+ika+bhūta	(while) being a householder, leading a householder’s life	agārika	right_only
agariyabhūta	adjective; agāra+ika+bhūta	(while) being a householder, leading a householder’s life	agāriya	right_only
agiha	adjective	homeless, without a house		right_only
aggakārikā	feminine	(first or best action); a first taste; a sample	agga	right_only
aggakulika	adjective (masculine/feminine)	(one) belonging to the an esteemed or chief family	agga	right_only
aggaṅkuraka	neuter	the top shoot	agga	right_only
aggadana	neuter	a gift of the best; the best gift	agga	right_only
aggadvāra	masculine	the top of the door or gate; (or the first gate opened; a way to leave the town secretly)		right_only
aggadhamma	masculine	the best doctrine; the best state or condition	agga	right_only
agganagara	neuter	a chief city; the chief city		right_only
aggapaññati	feminine	designation as best (of its class)	agga	right_only
aggapiṇḍa	masculine	the first or best food	agga	right_only
aggapuggala	masculine	the best of men	agga	right_only
aggapurisa	masculine	the best or the preeminent person	agga	right_only
aggappasāda	masculine	the best trust; trust in the best		right_only
aggapasāda	masculine	the best trust; trust in the best		right_only
aggarasaparititta	adjective	completely satisfied with the best flavored foods	agga	right_only
aggalaṭṭhapana	neuter	the placing or vising of a door-bolt or door-panel	aggala	right_only
aggalaphalaka	neuter	the panel of a door	aggala	right_only
aggalavaṭṭi	feminine	the post to which the bolt is fastened	aggala	right_only
aggalasūci	feminine	a bolt-pin, a bolt	aggala	right_only
aggaḷa	masculine, neuter	a bolt or bar for fastening a door (or window); the door-panel or door	aggala	right_only
aggaḷa	masculine, neuter	a patch	aggala	right_only
aggavat	adjective	of great eminence, excellent	agga	right_only
aggava	adjective	of great eminence, excellent	agga	right_only
aggavādi	m(fn); agga+vadati	(one) who proclaims the highest, the best	agga	right_only
aggasavaka	masculine	a chief disciple	agga	right_only
aggahīta	adjective	kept back	gaṇhāti	right_only
aggāsana	neuter	the first or chief seat	agga	right_only
aggiṭṭhāna	neuter	a place for the fire; a fireplace, hearth	aggi	right_only
aggipajjota	masculine	light from a fire	aggi	right_only
aggipāricariyā	feminine	attendance on, or care of, the ritual fire	aggi	right_only
aggipāricārika	adjective	who tends the ritual fire	aggi	right_only
aggiparicitta	adjective	damaged by fire	aggi	right_only
aggimāsīna	adjective	sitting near a fire	aggi	right_only
aggisādhārana	adjective	subject to, vulnerable to, fire	aggi	right_only
aggihuttamissa	neuter	various tools etc. for the fire-oblation	aggihutta	right_only
aggihuttamukha	neuter	for which the fire-oblation is the chief or foremost	aggihutta	right_only
aggihoma	neuter	oblation in the fire	aggi	right_only
aggiya	adjective (masculine)	(from aggi) one who tends the ritual fire	aggika	right_only
agginisama	adjective & neuter	filled (to the brim) with fire; being a mass of fire; a mass of fire		right_only
aggupaṭṭhāka	masculine	the chief personal (male) attendant	agga	right_only
agghanikā	adjective (f. -ikā)	having the value of, worth	agghanaka	right_only
agghāpenta	present participle adjective	valuing; putting a price on	agghati	right_only
agghāpesi	aorist 3 singular	valued; put a price on	agghati	right_only
agyantarāya	masculine	danger from fire	aggi+antarāya	right_only
aghagāmi	adjective	moving through the sky, through the space	aggha	right_only
aghāvī	adjective	being in misery; suffering pain		right_only
aghāvi	adjective	being in misery; suffering pain		right_only
aṅkusagayha	neuter	(from aṅkusaggaha) the art of elephant driving	aṅkusa	right_only
aṅgamaṅgāni	neuter plural	limb by limb; all the limbs	aṅga	right_only
aṅgavata	masculine	rheumatism	aṅga	right_only
aṅgārī	adjective	covered in crimson		right_only
aṅgāri	adjective	covered in crimson		right_only
aṅgī	adjective	having limbs or parts; having a body; who has limbs		right_only
aṅgi	adjective	having limbs or parts; having a body; who has limbs		right_only
aṅgulīchinna	adjective	whose finger has been cut off	aṅgulī	right_only
aṅgulīpatodaka	masculine	poking with the finger; tickling	aṅgulī	right_only
aṅgulīpada	neuter	a finger-mark	aṅgulī	right_only
aṅgulimuddikā	feminine; aṅguli+mudda+ikā	a signet ring	aṅgulī	right_only
acīvaraka	m(fn.)	(one) who has no bhikkhu’s robes	a+cīvara+ka	right_only
acc	prefix	is the usual form of the prefix ati- before vowels other than ī. In words of more than three syllables the vowel following acc- is often strengthened		right_only
accaguṃ	aorist 3 singular	surpassed, overcame	ati+gacchati	right_only
accaṅkusa	adjective	beyond the control of the goad	ati+aṅkusa	right_only
accantabrahmacāri	adjective	living the holy or celibate life absolutely, constantly	accanta	right_only
accantayogakkhemi	adjective	having absolute, constant peace from exertion	accanta	right_only
accantaruci	adjective	having superior splendor, surpassing in splendor	accanta	right_only
accasarī	aorist 3 singular	gave offense		right_only
accāraddhaviriya	neuter & adjective	(neuter) to great exertion	accāraddha	right_only
accāraddhaviriya	neuter & adjective	(adjective) exerting oneself too much	accāraddha	right_only
accāvadati	present 3 singular	speaks or addresses in an excessive or improper way; (tries to) surpass in speaking	ati+vadati	right_only
accāsanne	loc. adverb	very near; too close	accāsanna	right_only
acchibaddha	adjective	laid out in squares or laid out in strips	acci+baddha	right_only
accīmat	adjective	flaming, glowing; brilliant		right_only
accīma	adjective	flaming, glowing; brilliant		right_only
accuggamamma	indeclinable	rising out (of); being raised above	ati+uggacchati	right_only
accodāta	adjective	too white, too pale	ati+odāta	right_only
acchakañjīka	feminine	rice gruel	accha	right_only
accheti	present 3 singular	is; sits; remains, stays; continues (doing something); sits idle, sits doing nothing; (often used as an auxiliary with part, or absolutive)	acchati	right_only
acchara	neuter	a wonderful thing, a marvel; amazement	acchera	right_only
accharāsaṅghāta	masculine	a finger-snap; a moment	accharā+saṅghāta	right_only
accharikā	feminine	snapping of the fingers		right_only
acchariyamanussa	masculine	a wonderful exceptional man	acchariya	right_only
acchādāpetvā	cause. absolutive	causing to put on; presenting; clothing (with)	acchādeti	right_only
acchādayati	present 3 singular	covers; clothes or presents with (clothes, instrumental); puts on (clothes, accusative)	acchādeti	right_only
acchupeti	present 3 singular	inserts; puts on or in		right_only
acchodi	adjective	having clear water	accha	right_only
acchodika	adjective; accha+udika	having clear water	accha	right_only
ajaka	masculine (& ~ā feminine?)	a young goat		right_only
ajapālaka	masculine feminine; aja+pāla+ka	a goatherd	aja	right_only
ajalakkhaṇa	neuter	signs of health or omen on a goat	aja	right_only
ajavisāṇavaddhikā	adjective (feminine)	with points like goats’ horns	aja	right_only
ajikakkhāyita	adjective	chewed by goats	ajikā	right_only
ajinasāṭī	feminine; ajina+sāṭī	a garment made of skins	ajina	right_only
ajjatā	feminine	the present time	ajja	right_only
ajjadagge	indeclinable	from this day onward	['ajja', 'agga']	right_only
ājjava	masculine, neuter	uprightness; straightness	uju	right_only
ajjasaṭṭhim	indeclinable	since six days ago, for six days	ajja	right_only
ajjh	prefix	is the form of the preverb adhi- before vowels except ī		right_only
ajjhappattā	past participle	fallen upon or rushed at		right_only
ajjhāgamuṃ	aorist 3 plural	they found	adh+ā+gacchati	right_only
ajjhācare	indeclinable	as regards conduct		right_only
ajjhājīve	indeclinable	as regards way of life		right_only
ajjhājapajjanta	adjective (f. ~antī)	committing an offense; incurring; guilty of		right_only
ajjhājapatti	feminine	transgression; committing of (an offense)		right_only
ajjhāpannaka	masculine	one who has committed an offense		right_only
ajjhārāme	indeclinable	within a park or monastery	adhi+ārāma	right_only
ajjhārūha	adjective	overgrowing, dominating, parasitical	ajjhāruhati	right_only
ajjhārūhati	present 3 singular	grows in and up over (as a parasite); spreads over, dominates	adhi+ā+ruhati	right_only
ajjhāruḷha	past participle adjective	(passive) grown over, grown upon; spread over, dominated	ajjhāruhati	right_only
ajjhāvasathe	indeclinable	within a house or dwelling	adhi+āvasatha	right_only
ajjhāsayaṃ	indeclinable	as to the intention, state of mind	adhi+āsaya	right_only
ajjhiṭṭhapañha	masculine	the question asked; the chosen question	ajjhiṭṭha	right_only
ajjhūpagata	past participle adjective	(act.) who has come to, reached; entered upon; agreed to; gone over to	ajjhupagacchati	right_only
ajjhūpekkhati	present 3 singular	looks on without interfering; views with impartiality or disinterestedness; tolerates, condones	adhi+upekkhati	right_only
ajjhupekkhita	masculine	(from ajjhupekkhati) one who looks on with disinterestedness, detachment	ajjhupekkhati	right_only
ajjhesana	feminine	request, entreaty (especially to expound or recite the dhamma)	ajjhesati	right_only
ajjhokāsagata	adjective	being in the open air	ajjhokāsa	right_only
ajjhogāḷhappatta	adjective	immersed in, intimate	ajjhogāḷha	right_only
ajjhomucchita	adjective	swooning; clinging to (in longing)		right_only
añjanakkhika	adjective	with eyes painted with collyrium	añjana	right_only
añjanithavikā	feminine	a bag for the collyrium pot	añjanī	right_only
añjanisalākā	feminine	a stick for applying ointment	añjanī	right_only
añjanūpapiṃsana	neuter	perfume to mix with ointment	añjana	right_only
añjalika	adjective	with cupped hands raised	añjali+ka	right_only
añjalī	masculine (& feminine)	the cupped hands; especially as raised to the head (as a gesture of respect or supplication)		right_only
añjasayana	masculine	the straight course	añjasa	right_only
aññañña	adjective pron	each other	añña	right_only
aññamaññakhādikā	feminine	the eating of one another	añña-m-añña	right_only
aññakanthika	adjective	acquiescing in different views	añña	right_only
aññacetāpana	neuter ~ā, feminine	asking for something else; exchanging for something else (?)	añña	right_only
aññataraññatara	adjective	one or other; all kinds	aññatara	right_only
aññatthācariyaka	adjective	following a different teaching	aññattha	right_only
aññatrayoga	adjective	following another discipline or religious practice	aññatra	right_only
aññathācariyaka	adjective	following a different teaching	aññathā	right_only
aññathābhava	masculine	becoming different; change, alteration	aññathā	right_only
aññathābhāvi	masculine	of changeable nature, inevitably changing	aññathā	right_only
aññadattha	masculine	another object or aim	añña	right_only
aññadatthika	adjective	having another object or purpose	añña	right_only
aññadatthuhara	adjective	who merely, only takes	aññadatthu	right_only
aññapekkha	adjective	wishing for knowledge, wanting to know	aññā	right_only
aññapekha	adjective	wishing for knowledge, wanting to know	aññā	right_only
aññāvada	masculine	a statement of what is known (?)	aññā+vāda	right_only
aññavadaka	masculine & neuter	(masculine) one who speaks about something else, a prevaricator	añña	right_only
aññavadaka	masculine & neuter	(neuter) the offense of prevaricating	añña	right_only
aññavadīn	adjective	professing another doctrine	añña	right_only
aññavadī	adjective	professing another doctrine	añña	right_only
aññāṃ vyākaroti	phrase	proclaims one’s arahatship	aññā	right_only
aññācitta	neuter	thought for knowledge, the intention of gaining perfect knowledge	aññā	right_only
aññātakavesena	adv	in disguise; not in one owns form	aññātaka+vesa	right_only
aññātāvi	adjective	who has complete insight; (completely understood?)		right_only
aññoññavivaresi	adjective	seeking faults in one another	añña	right_only
aṭalī	feminine	having several linings (of a certain kind of shoe)		right_only
aṭṭakaraṇa	neuter; aṭṭa+karaṇa	(the place for) dealing with lawsuits; seats of judgment, courtroom	aṭṭa	right_only
aṭṭakāraka	masculine ~ā feminine	one of the parties in a lawsuit	aṭṭa	right_only
aṭṭakārikā	masculine ~ā feminine	one of the parties in a lawsuit	aṭṭa	right_only
aṭṭhakā	feminine	the eighth day after the full moon in the two winter months; the festival held at that time		right_only
aṭṭhaṅgamagga	masculine; aṭṭha+aṅga+magga	the eightfold path; the path with eight constituent parts	aṭṭa	right_only
aṭṭhaṅgasumāgata	adjective	well joined with the eight parts; well endowed with eight parts or with eight qualities	aṭṭha	right_only
aṭṭhaṅgasumāhita	adjective	well joined or endowed with eight parts	aṭṭha	right_only
aṭṭhaṅgupeta	adjective	characterized by the eight parts or factors (i.e. by the observance of the first eight precepts)	aṭṭha	right_only
aṭṭhaṅguli	adjective	to the height or extent of eight finger-breadths	aṭṭha	right_only
aṭṭhacattārīsaṃ	number	forty eight	aṭṭha	right_only
aṭṭhacattārīsa	number	forty eight	aṭṭha	right_only
aṭṭhatālīsaṃ	number	forty eight	aṭṭha	right_only
aṭṭhatālīsa	number	forty eight	aṭṭha	right_only
aṭṭhadoṇa	number	divided into eight measures	aṭṭha	right_only
aṭṭhadhā	indeclinable	in eight parts	aṭṭha	right_only
aṭṭhānavuti	number	ninety eight	āttha	right_only
aṭṭhapadaka	neuter	cross weaving; a darn (in appearance like a checkered board)	aṭṭha	right_only
aṭṭhapadakatā	adjective	arranged in an aṭṭhapada, plaited eightfold	aṭṭhapada	right_only
aṭṭhaparivatta	adjective	consisting of eight items	aṭṭha	right_only
aṭṭharasa	number & adjective	18	aṭṭha	right_only
aṭṭhavatthuka	adjective	connected with eight bases or grounds	aṭṭha	right_only
aṭṭhavācika	adjective	involving eight proclamations	aṭṭha	right_only
aṭṭhavīsaṃ	number & adjective	twenty eight	aṭṭha	right_only
aṭṭhasaṭṭhi	feminine number	sixty eight	aṭṭha	right_only
aṭṭhasataṃ	number	one hundred eight	aṭṭha	right_only
aṭṭhaha	neuter or masculine	a period of eight days	aṭṭha	right_only
aṭṭhādasa	number	eighteen	aṭṭha	right_only
aṭṭhārasaka	neuter masculine	a group of eighteen	aṭṭhārasa+ka	right_only
aṭṭhikaṅkāla	masculine; aṭṭhi+kaṅkala	a collection of bones; a skeleton	aṭṭhi	right_only
aṭṭhikasañña	feminine	the idea of bones, contemplation of the skeleton (as a meditation exercise)		right_only
aṭṭhicchida	m(fn.)	a breaker of bones	aṭṭhi	right_only
aṭṭhicchinna	m(fn.)	one who breaks bones (?); one with broken bones (?)	aṭṭhi	right_only
aṭṭhittaca	neuter	skin and bones	aṭṭhi	right_only
aṭṭhitaca	neuter	skin and bones	aṭṭhi	right_only
aṭṭhisañcaya	masculine; aṭṭhi+saṅkalikā	a heap of bones	aṭṭhi	right_only
aṭṭhisañña	feminine; aṭṭhi+saṅkalikā	the idea of bones; contemplation of the bones	aṭṭhi	right_only
aṭṭhila	neuter	a bone (or small pebble) used for massage	aṭṭhi+illa	right_only
aḍḍhakāyika	adjective	half one’s body	aḍḍha	right_only
aḍḍhakāsika	adjective	made of a sort of luxurious cloth from Kāsi	['aḍḍha', 'aḍḍhakāsiya']	right_only
aḍḍhakāsiya	adjective	made of a sort of luxurious cloth from Kāsi	['aḍḍha', 'aḍḍhakāsika']	right_only
aḍḍhakuḍḍaka	neuter	a half-wall	aḍḍha	right_only
aḍḍhakusi	feminine	a short strip of cloth (part of a bhikkhu’s robe)	aḍḍha	right_only
aḍḍhaṭṭhama	adjective	seven and a half	aḍḍha	right_only
aḍḍhateḷasa	adjective	twelve and a half	aḍḍha	right_only
aḍḍhapallaṅka	neuter	a half crossed-legged posture, i.e. with one leg straight	aḍḍha	right_only
aḍḍhamaṇḍala	neuter	a small panel (of a bhikkhu’s robe)	aḍḍha	right_only
aḍḍhamāsika	adjective	fortnightly	aḍḍha	right_only
aḍḍharattā	feminine	midnight	aḍḍha	right_only
aḍḍharatti	feminine	midnight	aḍḍha	right_only
aḍḍhaduka	neuter	a certain way of shaping the hair on the stomach	aḍḍha	right_only
aḍḍhavāda	masculine	talk of wealth, talk of being rich	aḍḍha	right_only
aṇīka	(masculine)n	an army; troops		right_only
aṇumthūla	adjective	fine and coarse; small and large	aṇu	right_only
aṇudhamma	masculine	a mean practice	aṇu	right_only
aṇukathūla	adjective	fine and coarse	aṇu+ka+thūla	right_only
aṇḍabhārī	m(fn.)	carrying his testicles	aṇḍa	right_only
aṇḍabhāri	m(fn.)	carrying his testicles	aṇḍa	right_only
aṇḍasambhava	m(fn.)	produced from an egg; a bird	aṇḍa	right_only
aṇḍahāraka	masculine	one who takes or extirpates the testicles, a gelder; (or one who takes eggs?)	aṇḍa	right_only
atappa	masculine plural	the name of one of the highest classes of devas, the second class of suddhāvāsa devas		right_only
atiuṇha	adjective	too hot; very hot	uṇha	right_only
atikata	adjective	more than repaid; paid back excessively	kata	right_only
atikaṇha	adjective	too dark	kaṇha	right_only
atikālassa	indeclinable	very early; too early	kālassa	right_only
atikāle	indeclinable	very early; too early	kāle	right_only
atikālena	indeclinable	very early; too early	kālena	right_only
atikāḷa	adjective (f. ~ī)	too dark	kāḷa	right_only
atikāḷikā	adjective (feminine)	too dark	kāḷaka	right_only
atikisa	adjective	too thin	kisa	right_only
atikkantamānussaka	adjective (f. -ikā)	superhuman	atikkanta	right_only
atikkantavara	adjective	beyond or above granting boons	atikkanta	right_only
atikkamaka	masculine	going over		right_only
atikkāmita	past participle adjective	let pass, taken beyond	atikkamati	right_only
atikkāmayati	causative present 3 singular	lets pass, makes pass over, takes over; lets elapse	atikkamati	right_only
aticaritar	masculine feminine	who transgresses; commits adultery		right_only
aticarita	masculine feminine	who transgresses; commits adultery		right_only
aticāri	adjective	transgressing; unfaithful		right_only
atitarati	present 3 singular	passes over, crosses; goes beyond, surpasses		right_only
atithī	masculine	a guest; stranger		right_only
atithikaraṇīya	neuter	hospitality	atithi	right_only
atithibali	masculine	offering to a guest	atithi	right_only
atidiṭṭhayā	indeclinable	as regards to belief, view		right_only
atidhonacāri	adjective	(according to commentary) immoderate in the use of the requisites of a bhikkhu, or transgressing the proper use of the requisites		right_only
atināmayati	present 3 singular	spends (time), lets (time) elapse; lets the time passive	atināmeti	right_only
atināmayati	present 3 singular	makes pass; makes pass into, leads (someone) into	atināmeti	right_only
atinipāta	masculine	self-abasement		right_only
atinetabba	future passive participle adjective	bringing up to; leading into, bringing in		right_only
atinetvā	absolutive	having brought up to; having lead into, brought in		right_only
atipassitvā	indeclinable	out-flanking (?)		right_only
atipātāpayati	causative present 3 singular	causes to injure or kill		right_only
atipāti	adjective	transgressing; attacking, injuring		right_only
atipātayati	causative present 3 singular	makes fly through or past	atipāteti	right_only
atipātayati	causative present 3 singular	lays low; injures, kills; (and causes (someone) to kill (?))	atipāteti	right_only
atibaddha	adjective	tied together, coupled		right_only
atibandhitvā	adjective	tying together, coupling		right_only
atimaṭāhaka	adjective	too short (?)		right_only
atimandhāka	adjective (?)	too small (?)		right_only
atimāni	adjective	proud; conceited		right_only
atimāpita	past participle adjective	killed	atimāpeti	right_only
atimāpeti	present 3 singular	injures; destroys		right_only
atimuttakamala	masculine	a garland of the atimuttaka shrub’s flower (perhaps Ougeinia oojeinensis)		right_only
ativannati	present 3 singular	overpowers, overwhelms		right_only
ativāha	masculine	what leads across, a guide, a conveyance		right_only
ativisa	neuter	a kind of plant		right_only
ativeṭhayati	present 3 singular	presses		right_only
atīsāra	masculine, neuter	a going beyond, deviation; transgression		right_only
atisārī	adjective	going beyond; transgressing		right_only
atisāri	adjective	going beyond; transgressing		right_only
atiharāpeti	causative present 3 singular	causes to bring in; collects, harvest, confiscates	atiharati	right_only
atihita	past participle adjective	brought in, harvest	atiharati	right_only
atītaṃ	accusative	in the past	atīta	right_only
atītaṃsa	masculine	the past	atīta	right_only
atītaṭṭha	adjective & masculine	who has missed his profit	atīta	right_only
atītam addhanaṃ	adverb	in the past	atīta	right_only
atītayobbana	adjective	whose youth has passed	atīta	right_only
atītasatthuka	adjective	no longer having a master or teacher	atīta	right_only
atītasmim	adverb	in the past	atīta	right_only
atīraka	adjective	unlimited		right_only
atīsaraṃdiṭṭhi	feminine	excessive view(s); deviant view(s)		right_only
attagarahi	adjective	blaming oneself; reproaching oneself	atta	right_only
attacatuttha	adjective	with oneself as the fourth; with three others	atta	right_only
attaññu	adjective	knowing oneself	atta	right_only
attaṭhapañña	adjective	wise only for oneself; concerned with oneself only (so sometimes commentaries); (same as atta)		right_only
attatta	masculine	one’s own profit or interest; one’s own goal	atta	right_only
attaṭṭapañña	adjective	looking (only) after one’s own profit or interest; (who is) wise as to his own advantage	attatta	right_only
attatthiya	adjective	concerned with one’s own goal	atta	right_only
attadutiya	adjective	with oneself as the second; with a companion	atta	right_only
attadhipaka	adjective	with the self, with oneself as master; controlled by the self	atta	right_only
attadhīna	adjective	dependent upon oneself (only); independent	atta	right_only
attan	masculine	the self, the soul, as a permanent, unchangeable, autonomous entity (always rejected by the Pāḷi Buddhist texts as not corresponding to any reality)	atta	right_only
attan	masculine	the self, one’s own self (the abstract individual); the image in a looking-glass; especially	atta	right_only
attan	masculine	oneself, himself, yourself, (used (in the singular) as reflexive pronoun for all three persons and genders); instrumental attanā, by oneself; in oneself, as for oneself, often used in the sense of a nominative	atta	right_only
attan	masculine	(adjective) full, complete (or personal)	atta	right_only
attanīya	adjective & neuter	belonging to one ‘s self one’s own; belonging to an (enduring) self or soul; what belongs to one’s self; what belongs to an (enduring) self or soul		right_only
attanudiṭṭhi	feminine	dogma about the self; belief in an (enduring) self or soul	atta	right_only
attanupkkhī	adjective	watching oneself	atta	right_only
attanupkkhi	adjective	watching oneself	atta	right_only
attanuyogī	adjective	intent upon oneself or one’s own interest	atta	right_only
attanuyogi	adjective	intent upon oneself or one’s own interest	atta	right_only
attanuvādabhaya	neuter	fear of self-reproach	atta	right_only
attabhāvī	masculine	having a body	atta	right_only
attabhāvi	masculine	having a body	atta	right_only
attamāraṇiya	adjective	causing death to oneself	atta	right_only
attarūpa	adjective	very complete; (or quite personal)	atta	right_only
attarūpa	adjective	fitting for oneself; just oneself; ~ena, ~ehi, by oneself, for one’s own sake	atta	right_only
attavetanabhata	adjective	supported by one’s own earnings	atta	right_only
attavyābādha	adjective	one’s own distress	atta	right_only
